מספר הסקר,תאריך,משיבים,כלי תקשורת,עורך משאלים,הליכוד,יהדות התורה,ש״ס,המחנה הממלכתי,יש עתיד,חדש תע״ל,ישראל ביתנו,מפלגת הדמוקרטים (עבודה-מרצ),הציונות הדתית,רע״מ,בל״ד,עוצמה יהודית,תקווה חדשה
256,2024-12-26,500,ערוץ 14,דירקט פולס,32,8,10,13,9,5,13,13,4,5,0,8.0,0.0
257,2024-12-27,500,מעריב,מנחם לזר,23,7,10,20,16,6,15,11,0,4,0,8.0,0.0
258,2024-12-29,601,כאן חדשות,דודי חסיד,25,7,10,18,14,5,14,11,4,5,0,7.0,0.0
259,2025-01-02,508,ערוץ 14,שלמה פילבר וצוריאל שרון,34,8,10,15,8,5,13,12,5,5,0,5.0,0.0
260,2025-01-03,500,מעריב,מנחם לזר,24,7,9,18,15,5,16,11,4,5,0,6.0,0.0
261,2025-01-09,498,ערוץ 14,שלמה פילבר וצוריאל שרון,34,8,11,13,8,5,14,12,5,5,0,5.0,0.0
262,2025-01-10,501,מעריב,מנחם לזר,22,7,10,19,14,5,15,13,4,5,0,6.0,0.0
263,2025-01-16,531,i24 news,"יצחק כ\""ץ",27,8,10,18,11,6,16,11,0,4,0,9.0,0.0
264,2025-01-16,521,ערוץ 14,שלמה פילבר וצוריאל שרון,29,8,10,12,7,5,15,15,6,5,0,8.0,0.0
265,2025-01-17,509,מעריב,מנחם לזר,23,7,10,17,14,5,15,13,4,5,0,7.0,0.0
266,2025-01-22,500,מכונת האמת,רפי סמית,26,7,9,16,12,5,16,11,5,5,0,8.0,0.0
267,2025-01-23,505,חדשות 12,מנו גבע,24,7,9,18,14,4,13,13,4,6,0,8.0,0.0
268,2025-01-23,500,ישראל היום,"יצחק כ\""ץ",28,7,10,18,14,5,12,12,0,6,0,8.0,0.0
269,2025-01-23,521,ערוץ 14,שלמה פילבר וצוריאל שרון,31,8,11,10,6,5,15,17,6,6,0,5.0,0.0
270,2025-01-24,517,מעריב,מנחם לזר,21,7,10,18,13,5,16,12,4,5,0,9.0,0.0
271,2025-01-31,517,מעריב,מנחם לזר,21,7,9,19,14,5,15,13,4,5,0,8.0,0.0
272,2025-02-05,500,חדשות 13,יצחק כץ,26,7,10,17,8,6,16,12,4,5,0,9.0,0.0
273,2025-02-06,506,חדשות 14,דירקט פולס,33,8,11,10,6,5,15,16,6,5,0,5.0,0.0
274,2025-02-07,503,מעריב,מנחם לזר,24,7,9,17,13,6,15,12,4,4,0,9.0,0.0
275,2025-02-13,518,ערוץ 14,דירקט פולס,32,8,10,9,7,5,15,17,6,5,0,6.0,0.0
276,2025-02-14,500,מעריב,מנחם לזר,21,7,10,19,11,6,17,13,4,4,0,8.0,0.0
277,2025-02-18,501,חדשות 12,מנו גבע,25,8,9,17,13,5,12,14,5,5,0,7.0,0.0
278,0000-00-00,509,מעריב,מנחם לזר,22,7,10,17,13,6,16,12,4,4,0,9.0,0.0
279,2025-02-23,500,i24 news,"יצחק כ\""ץ",26,8,9,16,11,5,13,13,5,5,0,9.0,0.0
280,2025-02-27,499,ערוץ 14,שלמה פילבר וצוריאל שרון,33,8,10,9,7,5,15,16,5,5,0,7.0,0.0
281,2025-02-28,511,מעריב,מנחם לזר,23,7,9,16,12,5,16,14,4,5,0,9.0,0.0
282,2025-03-03,601,כאן חדשות,דודי חסיד,26,8,10,16,11,6,15,12,4,5,0,7.0,0.0
283,2025-03-05,500,חדשות 12,מנו גבע,25,8,9,16,14,5,12,14,4,5,0,8.0,0.0
284,2025-03-06,517,ערוץ 14,שלמה פילבר וצוריאל שרון,32,8,10,7,7,5,16,17,5,5,0,8.0,0.0
285,2025-03-07,500,מעריב,מנחם לזר,22,7,10,17,14,6,15,12,4,4,0,9.0,0.0
286,2025-03-11,500,חדשות 13,יצחק כץ,26,7,10,18,11,5,15,11,5,5,0,7.0,0.0
287,2025-03-14,500,מעריב,מנחם לזר,24,7,10,17,12,6,17,10,4,4,0,9.0,0.0
